date;indicator;value
2017-04;Western region - Maximum - (GW);14.1
2017-04;Western region - Minimum - (GW);7.7
2017-05;Eastern region - Minimum (GW);12.7
2017-05;Southern region - Minimum - (GW);3.1
2017-05;Western region - Average - (GW);12.8
2017-06;Central region - Maximum - (GW);20.1
2017-06;Eastern region - Average (GW);16.0
2017-06;Southern region - Average - (GW);5.0
2017-06;Western region - Maximum - (GW);16.5
2017-08;Western region - Maximum - (GW);17.1
2017-09;Central region - Average - (GW);15.2
2017-09;Central region - Minimum - (GW);11.3
2017-09;Western region - Average - (GW);14.0
2017-10;Central region - Minimum - (GW);8.7
2017-10;Eastern region - Maximum (GW);17.0
2017-10;Southern region - Minimum - (GW);3.1
2017-11;Central region - Maximum - (GW);11.7
2017-11;Eastern region - Average (GW);12.4
2017-11;Western region - Maximum - (GW);12.3
2017-12;Eastern region - Average (GW);11.1
2017-12;Western region - Average - (GW);7.8
2018-01;Central region - Minimum - (GW);6.3
2018-01;Eastern region - Average (GW);10.9
2018-01;Western region - Maximum - (GW);8.3
2018-02;Central region - Average - (GW);8.0
2018-02;Central region - Maximum - (GW);10.3
2018-02;Central region - Minimum - (GW);6.0
2018-02;Eastern region - Minimum (GW);9.3
2018-02;Southern region - Average - (GW);3.2
2018-02;Southern region - Maximum - (GW);4.1
2018-03;Western region - Average - (GW);9.1
2018-04;Central region - Maximum - (GW);13.2
2018-04;Southern region - Average - (GW);4.1
2018-04;Southern region - Maximum - (GW);5.0
2018-04;Western region - Minimum - (GW);7.6
2018-05;Central region - Average - (GW);13.8
2018-05;Central region - Maximum - (GW);17.4
2018-05;Eastern region - Maximum (GW);17.5
2018-05;Eastern region - Minimum (GW);12.7
2018-05;Southern region - Maximum - (GW);5.4
2018-06;Southern region - Minimum - (GW);4.0
2018-06;Western region - Average - (GW);13.5
2018-07;Central region - Maximum - (GW);20.2
2018-07;Central region - Minimum - (GW);14.1
2018-07;Eastern region - Minimum (GW);14.9
2018-07;Southern region - Minimum - (GW);4.0
2018-08;Central region - Minimum - (GW);13.9
2018-08;Eastern region - Average (GW);17.5
2018-08;Eastern region - Maximum (GW);18.9
2018-08;Western region - Minimum - (GW);11.4
2018-09;Central region - Maximum - (GW);18.3
2018-09;Eastern region - Average (GW);16.7
2018-09;Southern region - Average - (GW);4.7
2018-09;Southern region - Minimum - (GW);3.4
2018-10;Central region - Minimum - (GW);8.7
2018-10;Southern region - Maximum - (GW);5.1
2018-10;Southern region - Minimum - (GW);3.1
2018-10;Western region - Minimum - (GW);7.9
2018-11;Eastern region - Minimum (GW);10.2
2018-11;Southern region - Average - (GW);3.6
2018-12;Southern region - Average - (GW);3.2
2018-12;Southern region - Minimum - (GW);2.1
2019-01;Central region - Average - (GW);8.2
2019-01;Central region - Maximum - (GW);10.7
2019-01;Southern region - Average - (GW);3.2
2019-02;Central region - Maximum - (GW);10.4
2019-02;Eastern region - Minimum (GW);10.5
2019-02;Southern region - Minimum - (GW);2.5
2019-02;Western region - Average - (GW);7.0
2019-03;Central region - Minimum - (GW);6.1
2019-03;Eastern region - Average (GW);11.4
2019-03;Eastern region - Maximum (GW);12.6
2019-03;Southern region - Maximum - (GW);4.7
2019-03;Southern region - Minimum - (GW);2.4
